Timestamp,Q1 T1 (us),Q1 T1 sigma,Q1 T4 (us),Q4 T1 sigma,mux Q1 T1 (us),muxQ1 T1 sigma,mux Q4 T1 (us),muxQ4 T1 sigma
2025-05-10 23:21:26,39.514662,2.126980,-16.259858,inf,24.481904,1.613366,43.626995,2.802625
2025-05-10 23:29:07,25.866099,2.053290,44.370180,2.425955,26.508138,1.877009,44.280226,2.769914
2025-05-10 23:36:48,26.066523,1.891023,40.817341,1.961083,13.761939,0.819084,44.032163,2.257010
2025-05-10 23:44:30,24.166740,1.367779,40.558786,2.264438,16.580512,0.882750,37.086466,2.124173
2025-05-10 23:52:10,25.669216,1.276281,37.611707,2.391802,14.958412,0.913386,44.318204,2.938892
2025-05-10 23:59:51,21.807965,1.978868,50.681932,3.566733,16.792665,0.904988,46.511169,2.784355
2025-05-11 00:07:32,26.643561,1.292363,47.203325,2.733113,15.415304,0.813082,46.106743,2.303569
2025-05-11 00:15:12,28.405988,1.511899,48.168971,3.101744,16.249504,1.037579,51.155876,3.189264
2025-05-11 00:22:53,27.927714,1.350597,50.640293,2.829854,16.021242,0.859013,47.966287,2.847233
2025-05-11 00:30:33,31.493513,1.717995,38.628866,2.327417,16.805926,0.872989,37.377897,2.300897
2025-05-11 00:38:14,28.977835,1.283572,40.679866,2.568667,17.208284,0.886936,45.949400,2.654828
2025-05-11 00:45:55,27.335255,1.296682,40.230444,2.307740,15.020784,0.911581,46.352690,2.922292
2025-05-11 00:53:36,26.939094,1.238772,48.705690,3.348914,16.583133,0.936238,45.322356,2.961471
2025-05-11 01:01:16,27.691210,1.452219,45.224006,2.393071,17.807113,1.207026,48.932405,2.775105
2025-05-11 01:08:57,23.527870,1.498494,44.512262,2.399118,16.294144,0.934329,47.834739,3.258612
2025-05-11 01:16:38,24.814069,1.755855,52.048832,3.347703,22.610471,1.427197,45.549495,2.329985
2025-05-11 01:24:18,26.211767,1.200253,46.431024,2.657913,17.164468,0.934441,48.054194,2.685975
2025-05-11 01:31:59,29.040218,1.028041,47.676492,2.758228,18.754763,0.992690,49.949574,2.731845
2025-05-11 01:39:40,33.055023,1.718354,45.874400,2.600855,19.765029,1.179322,41.216226,2.398606
2025-05-11 01:47:21,34.433958,1.788484,40.061002,2.508985,20.959075,1.039744,45.091327,2.694765
2025-05-11 01:55:01,36.730702,2.009904,47.443672,2.574658,22.148448,1.404083,47.359938,2.661248
2025-05-11 02:02:42,30.515682,2.308909,44.876496,2.656843,18.737145,0.953176,46.637622,2.743694
2025-05-11 02:10:23,28.011404,1.402120,45.744133,2.218270,17.534248,1.023660,46.336762,2.694033
2025-05-11 02:18:04,30.866770,2.233628,51.929454,3.530308,21.579720,1.208107,50.789253,3.197729
2025-05-11 02:25:44,28.819138,1.349282,45.397883,2.365168,17.606808,0.893738,42.759329,2.469452
2025-05-11 02:33:25,28.128596,1.641817,46.384340,2.406490,16.754616,0.828164,41.615844,2.188998
2025-05-11 02:41:06,25.563156,1.489718,37.173173,2.386292,16.707800,1.064314,39.330548,2.223239
2025-05-11 02:48:46,26.733953,1.318810,39.382727,2.495793,19.151190,1.283338,36.886125,2.045538
2025-05-11 02:56:27,27.370678,1.507424,35.726470,2.132848,18.440969,1.130489,48.144465,2.779026
2025-05-11 03:04:07,26.228349,1.459909,38.313466,3.131769,16.148763,0.996012,34.726411,1.717249
2025-05-11 03:11:48,24.390298,1.479044,38.086194,2.420024,16.032383,0.838602,40.406611,2.055731
2025-05-11 03:19:29,25.438858,1.828184,48.148346,2.853819,15.005743,0.796158,48.363381,2.986957
2025-05-11 03:27:10,31.491341,1.627494,45.894062,3.028430,16.498027,0.957087,47.098407,2.685634
2025-05-11 03:34:51,28.234469,1.516696,49.812317,2.909813,17.161722,1.310300,48.256336,3.045832
2025-05-11 03:42:31,24.483467,1.415168,54.244930,3.394051,18.774844,1.073401,51.679099,3.381276
2025-05-11 03:50:12,27.877729,1.283211,52.481820,3.654982,16.083228,0.864190,52.112951,3.490707
2025-05-11 03:57:52,25.289668,1.676219,51.642140,3.060726,15.570813,0.754810,49.705843,3.239985
2025-05-11 04:05:33,29.106774,1.316888,53.137961,3.307734,14.767817,0.837214,46.728273,3.180272
2025-05-11 04:13:14,23.455511,1.666402,50.612869,2.661680,17.815697,0.924733,47.064624,2.794070
2025-05-11 04:20:55,24.993899,1.261915,53.043251,4.201862,16.207760,0.970529,52.027525,3.208564
2025-05-11 04:28:35,28.037410,1.411609,50.480713,3.782220,16.163926,1.024378,43.601918,3.151872
2025-05-11 04:36:16,28.139742,1.452952,37.232099,2.541780,15.023101,0.622321,45.464165,2.429174
2025-05-11 04:43:57,25.369468,1.237621,53.415908,3.791419,15.160981,0.960786,51.757336,3.402727
2025-05-11 04:51:38,28.682748,1.586265,50.426335,2.923033,16.475910,0.920932,52.991719,3.086147
2025-05-11 04:59:19,25.607581,1.235004,50.427898,3.443538,14.379024,0.729180,53.933202,3.491443
2025-05-11 05:06:59,26.489085,1.406248,53.034234,4.205357,15.902886,0.894690,48.880613,2.858141
2025-05-11 05:14:40,28.061391,1.566435,52.708549,3.654223,15.930005,0.911449,54.381583,3.767602
2025-05-11 05:22:20,30.810913,1.490285,53.117697,3.800370,15.544625,0.590917,54.319298,4.082405
2025-05-11 05:30:01,31.786741,1.829603,59.452914,4.416689,15.196737,0.740590,52.078690,3.297043
2025-05-11 05:37:42,29.553312,1.500801,51.500847,3.610464,18.184343,0.970937,54.207174,3.796831
2025-05-11 05:45:23,27.390145,1.086669,54.465177,3.437350,17.229532,0.917425,59.047492,4.696787
2025-05-11 05:53:03,27.171745,1.106294,54.190693,4.413005,16.890180,1.135044,52.061880,3.224036
2025-05-11 06:00:44,26.636528,1.224564,57.700370,3.850306,14.890110,0.877870,59.685639,4.664532
2025-05-11 06:08:25,27.180608,1.463436,54.452973,3.822031,15.280369,0.831043,58.943591,4.530465
2025-05-11 06:16:05,25.465610,1.386230,69.875765,5.858989,16.123751,1.162905,51.639764,3.514234
2025-05-11 06:23:46,25.434780,1.247244,51.355361,3.941266,15.162575,0.968450,46.568501,3.256951
2025-05-11 06:31:26,24.255067,1.331872,36.180247,2.109576,16.696110,0.798565,33.592584,1.976298
2025-05-11 06:39:07,28.487889,1.491797,37.121632,2.234968,18.848431,1.103748,39.481223,2.536740
