Timestamp,Q1 T1 (us),Q1 T1 sigma,Q1 T4 (us),Q4 T1 sigma,mux Q1 T1 (us),muxQ1 T1 sigma,mux Q4 T1 (us),muxQ4 T1 sigma
2025-05-12 10:42:27,47.922904,3.890878,40.855219,5.552971,43.624766,4.941625,51.849410,9.390528
2025-05-12 10:45:43,40.960817,3.765162,73.647999,16.973146,44.514237,4.043461,59.162083,11.766438
2025-05-12 10:49:00,44.405024,4.453617,76.708167,16.604795,46.920836,4.547694,55.334181,8.550185
2025-05-12 10:52:16,41.255460,3.072957,49.318978,8.789937,31.714349,2.788735,63.866887,11.476186
2025-05-12 10:55:32,51.583630,4.938254,50.726888,8.335827,35.399689,2.805854,76.886780,16.304980
2025-05-12 10:58:48,45.805553,4.791547,40.355190,6.537350,37.067344,4.948937,43.763375,5.150902
2025-05-12 11:02:05,36.189091,2.933749,56.810631,11.315429,44.839147,4.691420,46.677714,6.350621
2025-05-12 11:05:21,51.360144,4.677717,39.942182,5.767822,52.136719,5.765909,42.547594,6.805334
2025-05-12 11:08:37,49.716446,4.348769,46.702058,6.772859,37.526501,3.047840,82.368517,17.970010
2025-05-12 11:11:53,48.578150,4.034235,42.398642,6.596660,40.352293,3.393344,51.887424,8.132698
2025-05-12 11:15:10,48.492092,4.979756,77.793271,21.247537,44.330150,3.997071,56.486327,12.823322
2025-05-12 11:18:26,47.942770,3.462152,60.314290,10.930499,52.229278,5.906383,46.492801,7.025531
2025-05-12 11:21:43,30.970783,3.496390,43.594774,5.918230,33.138008,2.705783,45.407182,7.448427
2025-05-12 11:24:59,34.106998,2.969721,42.946838,5.671598,30.918849,3.555085,51.880684,11.229087
2025-05-12 11:28:15,39.790871,3.419462,55.398126,10.250874,32.924681,2.571516,40.708652,5.864430
2025-05-12 11:31:31,65.876226,9.914085,46.263732,6.668410,51.650056,5.630139,54.424775,11.970629
2025-05-12 11:34:47,43.701304,3.962772,55.472980,10.108283,54.406490,5.072369,39.624066,5.853175
2025-05-12 11:38:03,56.919649,5.125862,53.706802,10.017191,56.085302,6.143967,45.766177,7.498304
2025-05-12 11:41:20,47.777873,5.689261,40.373094,6.019651,45.072519,4.197342,44.032778,6.227001
2025-05-12 11:44:36,34.041119,3.035715,50.763275,7.162563,39.708897,4.207190,57.631364,9.295310
2025-05-12 11:47:52,39.436605,3.917626,75.416725,17.963929,40.206336,3.264429,68.679232,13.833594
2025-05-12 11:51:09,43.071939,4.361270,61.048438,14.227563,43.795436,3.848864,51.366287,7.884660
2025-05-12 11:54:25,49.251286,4.428255,62.232863,14.119956,41.137997,4.143431,52.876657,8.985539
2025-05-12 11:57:41,40.762695,3.938409,66.870899,14.650545,29.884504,3.350990,65.216043,13.267345
2025-05-12 12:00:57,48.134059,4.718995,47.194182,7.849645,31.213657,3.067284,44.906762,5.490088
2025-05-12 12:04:14,37.112621,3.637554,46.253020,7.756779,33.478977,3.385249,47.110400,8.544698
2025-05-12 12:07:30,45.579958,4.630888,44.725671,7.959037,33.716393,3.572410,53.597181,9.252981
2025-05-12 12:10:46,30.412710,2.577697,55.452005,10.745079,42.125864,4.031292,41.966743,7.204828
2025-05-12 12:14:03,40.084386,5.230078,65.880288,16.772329,37.554524,3.208752,45.926269,7.280907
2025-05-12 12:17:19,42.614785,5.429304,62.344259,12.214645,45.328308,6.497282,47.477568,7.441834
2025-05-12 12:20:35,38.217003,2.983084,48.833070,9.207543,47.801718,4.197671,52.983620,9.719135
2025-05-12 12:23:51,36.585618,3.991450,48.492053,10.703361,31.448095,3.176261,62.385709,19.695876
2025-05-12 12:27:08,27.512318,2.439755,28.178546,4.403633,36.128495,3.165353,39.793320,10.237480
2025-05-12 12:30:24,25.268571,3.161579,55.125751,13.038476,28.666644,2.345952,56.793744,13.309480
2025-05-12 12:33:40,28.692300,2.941932,50.293548,9.595815,35.530918,2.981308,79.628628,23.453023
2025-05-12 12:36:56,42.379344,3.200532,45.141097,8.044765,42.331538,4.327461,45.975167,8.745305
2025-05-12 12:40:13,27.223432,2.807400,50.776163,9.957818,27.056107,2.295362,52.666171,11.521935
2025-05-12 12:43:29,40.116499,3.742737,43.596674,6.433964,35.125830,2.922940,60.881767,12.419814
2025-05-12 12:46:45,37.930809,2.613282,52.611882,10.965184,32.316662,2.983677,42.575408,7.016831
2025-05-12 12:50:02,34.664223,3.332561,41.720298,6.652922,34.143816,2.597711,70.711344,17.181979
2025-05-12 12:53:18,46.146440,5.661164,105.283168,38.406104,41.477647,3.182857,51.172701,9.515286
2025-05-12 12:56:34,36.191074,3.210681,45.727083,7.388840,31.283490,3.647382,58.278413,14.496159
2025-05-12 12:59:50,28.168156,2.700936,42.403704,8.051495,35.367347,3.526422,44.026448,10.442072
2025-05-12 13:03:06,35.589375,3.942727,51.198560,8.875970,40.831592,3.525383,46.611428,8.007853
2025-05-12 13:06:22,42.486981,4.570687,58.589334,13.120917,36.925374,3.486425,38.556110,5.888885
2025-05-12 13:09:39,33.189412,3.117253,63.520521,17.391820,33.677617,3.359206,47.502013,9.070007
2025-05-12 13:12:55,33.289803,3.777318,60.977514,13.566664,42.731103,4.763525,70.113158,20.199518
2025-05-12 13:30:19,46.447862,4.709086,58.313471,12.941017,47.909760,4.541351,47.198007,8.527117
2025-05-12 13:33:36,56.965239,5.540073,52.621376,11.067115,49.885508,4.092466,43.688934,8.270310
2025-05-12 13:36:52,49.249035,4.880589,48.432867,8.824399,39.928617,3.033399,40.274149,7.070081
2025-05-12 13:40:08,42.955806,3.687076,57.996577,12.374694,45.369367,3.483446,53.322432,9.367427
2025-05-12 13:43:25,51.995200,4.982846,41.021833,6.448028,46.352886,4.291631,40.564169,6.546339
2025-05-12 13:46:41,44.305149,3.084341,40.639414,5.743141,49.513777,5.110299,43.960746,9.422862
2025-05-12 13:49:57,45.825185,4.029100,63.571113,17.306307,48.227218,3.711257,50.140740,8.964032
2025-05-12 13:53:13,42.253171,3.294247,58.756797,13.228769,44.214584,4.077520,56.348589,9.520085
2025-05-12 13:56:29,48.056346,4.416004,35.959610,5.341695,46.325099,3.810302,61.314789,13.330189
2025-05-12 13:59:46,45.616759,4.887416,57.760800,9.993342,39.510379,3.049001,59.669123,12.096205
2025-05-12 14:03:02,41.603615,4.663208,34.921174,5.305556,47.119497,3.922828,68.505604,14.255085
2025-05-12 14:06:18,34.168673,3.852677,44.865615,7.434440,38.643830,3.594090,61.406173,13.938793
2025-05-12 14:09:34,40.162945,3.860142,58.224696,13.983079,48.708375,4.218260,52.972872,9.856495
2025-05-12 14:12:51,42.930062,4.587329,47.065338,9.285553,42.917147,4.129157,35.465085,4.788628
2025-05-12 14:16:07,51.754855,5.302953,53.139665,10.710876,40.433713,2.912552,49.174241,8.955432
2025-05-12 14:19:23,48.246451,4.882173,39.738398,6.442690,46.987395,4.729186,87.782346,24.099893
2025-05-12 14:22:40,42.880902,3.659146,47.889289,7.874733,46.666377,3.674247,36.600544,5.415205
