Timestamp,Qubit,T1 (us),T1 sigma,T2 (us),T2 sigma
2025-05-09 00:49:34,Qubit1,22.550847,1.390752,1.203842,0.266649
2025-05-09 00:52:58,Qubit4,52.044188,3.665833,1.258644,0.231255
2025-05-09 00:56:22,Qubit1,21.988984,1.070901,1.113225,0.200648
2025-05-09 00:59:46,Qubit4,44.811350,2.894649,1.101053,0.236824
2025-05-09 01:03:10,Qubit1,20.179302,1.037129,0.991560,0.212159
2025-05-09 01:06:34,Qubit4,53.651133,3.814748,1.263861,0.277890
2025-05-09 01:09:58,Qubit1,21.778433,1.069689,0.983645,0.202140
2025-05-09 01:13:22,Qubit4,50.135292,2.751077,1.170344,0.202689
