timestamp,q1_t1,q4_t1
2025-04-17 23:37:05.728965,11.393549083047688,9.408114855006493
2025-04-17 23:37:18.548646,None,9.541587013164499
2025-04-17 23:37:31.259517,None,10.671921969802158
2025-04-17 23:38:43.982362,2.2292037874509525,8.91516655751371
2025-04-17 23:38:56.788604,None,7.7526302484324106
2025-04-17 23:39:09.559485,None,7.134926738079793
2025-04-17 23:40:22.349536,8.3632685637496,10.663654981276473
2025-04-17 23:40:35.232093,None,9.953399776810699
2025-04-17 23:40:47.993968,None,10.084346956667854
2025-04-17 23:42:00.790192,9.398502845810956,10.22141311053415
2025-04-17 23:42:13.801137,None,9.190230017059289
2025-04-17 23:42:26.669176,None,9.895103181176019
2025-04-17 23:43:39.540364,5.8835718460195645,15.032418053902914
2025-04-17 23:43:52.521687,None,10.329883608218118
2025-04-17 23:44:05.446046,None,9.655015978762679
2025-04-17 23:45:18.353890,8.434399343051735,10.651459361930803
2025-04-17 23:45:31.315784,None,11.045693477749465
2025-04-17 23:45:44.213489,None,10.07840672880239
2025-04-17 23:46:57.099456,13.614505152047359,9.55294119903024
2025-04-17 23:47:10.106284,None,6.844726449005966
2025-04-17 23:47:22.994505,None,9.230908400625825
2025-04-17 23:48:35.910283,5.992838541666666,10.538854667259795
2025-04-17 23:48:48.923961,None,9.335600235850208
2025-04-17 23:49:01.803886,None,9.131976031987744
2025-04-17 23:50:14.712502,6.342185670311063,10.30210664210123
2025-04-17 23:50:27.678013,None,9.692583649107878
2025-04-17 23:50:40.545234,None,9.601959082465717
2025-04-17 23:51:53.447551,8.539497723045919,8.50942219849476
2025-04-17 23:52:06.449340,None,9.630833942914574
2025-04-17 23:52:19.345895,None,9.68061177243995
2025-04-17 23:53:32.247968,25.637337546999195,11.098355954567392
2025-04-17 23:53:45.241832,None,9.963620855612328
2025-04-17 23:53:58.110657,None,9.609360037242311
2025-04-17 23:55:10.980732,0.09111145468160409,10.012921927605566
2025-04-17 23:55:23.968174,None,11.681567234828947
2025-04-17 23:55:36.852340,None,8.936580473839582
2025-04-17 23:56:49.765203,2.842376594153677,10.461642957413085
2025-04-17 23:57:02.752674,None,8.25568568701105
2025-04-17 23:57:15.620011,None,8.644234942911842
2025-04-17 23:58:28.523059,2.5121083046107353,8.488710820187546
2025-04-17 23:58:41.502124,None,11.93106840015302
2025-04-17 23:58:54.401091,None,9.131255019197857
2025-04-18 00:00:07.318114,22.01715039650111,12.01519216714976
2025-04-18 00:00:20.321225,None,8.833880199246673
2025-04-18 00:00:33.213398,None,9.53496082459609
2025-04-18 00:01:46.114649,9.39566264679773,8.427325801497945
2025-04-18 00:01:59.096333,None,9.571899558704407
2025-04-18 00:02:11.963910,None,8.757346949115066
2025-04-18 00:03:24.864069,3.8148924203338987,11.467052360791634
2025-04-18 00:03:37.860296,None,10.25316978272574
2025-04-18 00:03:50.740861,None,9.282393793557008
2025-04-18 00:05:03.647599,9.153196946463776,8.317534574115927
2025-04-18 00:05:16.647182,None,9.414683259085066
2025-04-18 00:05:29.532801,None,8.91968263545263
2025-04-18 00:06:42.417200,2.845603337789585,11.124321440043037
2025-04-18 00:06:55.407280,None,8.30279137201302
2025-04-18 00:07:08.280111,None,10.246775501558853
2025-04-18 00:08:21.162138,111.19941780860283,10.200683835383817
2025-04-18 00:08:34.180461,None,10.991151905040342
2025-04-18 00:08:47.070608,None,9.561777600824865
2025-04-18 00:09:59.954482,4.06056846570438,12.216571046046633
2025-04-18 00:10:12.942784,None,8.728220619491431
2025-04-18 00:10:25.826676,None,8.875324396436643
2025-04-18 00:11:38.729308,7804.008416591882,9.518796808951672
2025-04-18 00:11:51.775921,None,12.870718267513173
2025-04-18 00:12:04.663277,None,10.625685716197967
2025-04-18 00:13:17.558963,14.608047966809917,9.37581533844212
2025-04-18 00:13:30.566158,None,7.2471248077907156
2025-04-18 00:13:43.458717,None,10.285876406758938
