timestamp,q4_T1,q5_T1,q6_T1,q4_T2,q5_T2,q6_T2,q4_detune,q5_detune,q6_detune
2025-04-23 02:08:29.151265,9.312,11.367,10.444,3.402,2.562,2.08,0.052000000000000046,0.03299999999999992,0.06099999999999994
2025-04-23 02:17:26.345386,9.281,11.975,9.174,3.422,2.394,1.79,0.03799999999999981,0.040999999999999925,0.04999999999999982
2025-04-23 02:26:25.524486,9.891,11.885,10.619,3.35,2.613,1.945,0.052999999999999936,0.027000000000000135,0.052000000000000046
2025-04-23 02:35:24.836683,9.426,10.367,8.899,3.845,2.401,1.931,0.05600000000000005,0.04700000000000015,0.03399999999999981
2025-04-23 02:44:23.807694,9.774,13.374,10.37,3.44,2.602,2.081,0.03799999999999981,0.04400000000000004,0.0129999999999999
2025-04-23 02:53:22.997793,10.039,13.012,9.513,2.866,2.788,2.343,0.03299999999999992,0.040999999999999925,0.03500000000000014
2025-04-23 03:02:22.113899,10.235,11.974,9.309,2.985,2.282,1.966,0.02499999999999991,0.04400000000000004,-0.0020000000000000018
2025-04-23 03:11:21.282430,10.366,14.392,10.793,2.639,2.772,2.306,0.027000000000000135,0.04800000000000004,-0.006000000000000005
2025-04-23 03:20:20.447301,9.343,13.147,9.338,2.996,2.569,2.078,0.029999999999999805,0.05500000000000016,-0.010000000000000009
2025-04-23 03:29:19.668562,9.984,13.245,9.083,2.918,2.243,2.273,0.03200000000000003,0.052000000000000046,-0.0020000000000000018
2025-04-23 03:38:18.788398,9.99,13.817,9.956,3.117,2.436,2.261,0.021999999999999797,0.05500000000000016,-0.01200000000000001
2025-04-23 03:47:17.225582,9.705,12.531,8.414,3.221,2.484,2.434,0.03500000000000014,0.051000000000000156,-0.008999999999999897
2025-04-23 03:56:15.983816,9.928,13.124,10.749,3.227,2.4,2.24,0.03299999999999992,0.053999999999999826,-0.014000000000000012
2025-04-23 04:05:14.777479,9.984,12.522,9.722,2.872,2.677,2.055,0.03600000000000003,0.04999999999999982,-0.026999999999999913
