timestamp,T2r,T2e,T1
2025-04-22T01:21:51.204698,"[1.078793309616781, 1.312420248703856]","[10.568849743535248, 0.2658017085996529]",12.561851784098527
2025-04-22T01:22:39.462376,"[1.301480924474514, 1.3329609966787501]","[15.884330425159288, 0.27077994130889316]",12.752638558213452
2025-04-22T01:23:27.529963,"[1.496313708666174, 1.3548854620873207]","[25.979374187437504, 0.2646624279819867]",12.416950124909134
2025-04-22T01:24:15.763065,"[1.0047107878779862, 1.3258735265164594]","[16.86275699862089, 0.2685945708419455]",11.371899346336242
2025-04-22T01:25:03.858019,"[0.9348869570542641, 1.3018717759080198]","[17.96274030116794, 0.2692705652991303]",12.412666868453478
2025-04-22T01:25:52.039286,"[1.224740054881136, 1.349335241280829]","[10.143422597988154, 0.2638314987990644]",12.131357069909752
2025-04-22T01:26:40.338358,"[1.2553532001659284, 1.3220079982353914]","[17.78392739751114, 0.27468894530636856]",12.451020807962513
2025-04-22T01:27:28.607244,"[0.928524016344096, 1.306843240830763]","[11.503041757989642, 0.2783929400800571]",12.054765602827727
2025-04-22T01:28:16.920491,"[1.1122970804570445, 1.343829840090046]","[22.74164690809379, 0.2727614853529521]",11.2018501342364
2025-04-22T01:29:05.415438,"[0.8617783216245275, 1.294089720970537]","[10.773686867972366, 0.272150383508043]",11.870483732513591
2025-04-22T01:29:53.715929,"[1.2221047559558698, 1.3237965382584047]","[9.246917202560208, 0.2732862305078463]",11.395623755911377
2025-04-22T01:30:42.042605,"[1.4745365861385697, 1.3518745693866077]","[21.363508005631886, 0.2622663671590173]",12.219622269638029
2025-04-22T01:31:30.354834,"[1.1068950865242504, 1.3445332763553637]","[9.383534359797096, 0.27961443890579707]",13.294826461119337
2025-04-22T01:32:18.674867,"[1.1927861839187701, 1.298049936696187]","[9.250469453697248, 0.2717373196701245]",11.336307127116461
2025-04-22T01:33:06.974181,"[1.1441407157469454, 1.3352971002229275]","[8.818062619732853, 0.2761595054197028]",12.131099257517802
2025-04-22T01:33:55.276057,"[1.446429878434315, 1.3251012664736734]","[11.336420370598827, 0.2755030300628203]",13.256265497354121
2025-04-22T01:34:43.602823,"[1.3947038968723746, 1.339449104120125]","[12.151284761301413, 0.2716444196159449]",11.660862714738695
2025-04-22T01:35:31.893436,"[1.3065162826752217, 1.3409724665226683]","[9.652779932342613, 0.273047133800544]",12.708404130348216
2025-04-22T01:36:20.205318,"[1.314872471012655, 1.343881952341059]","[17.954819137595084, 0.2690868225779437]",11.260093864555873
2025-04-22T01:37:08.533122,"[1.3703263468250355, 1.3668287382899873]","[14.713867809606736, 0.2837422514186585]",12.520093084054826
2025-04-22T01:37:56.814274,"[2.1153731518629906, 1.3601319106969267]","[15.773845269037743, 0.2738578819774893]",12.338684573162265
2025-04-22T01:38:45.110118,"[1.3104676087798275, 1.3426459071075438]","[10.428360636847342, 0.27144989150166987]",12.957830512251942
2025-04-22T01:39:33.411081,"[1.7475810168894512, 1.3616009789317385]","[16.71899788473673, 0.27276170872246075]",10.370366316054287
2025-04-22T01:40:21.740633,"[0.9833183473394248, 1.3053827507592546]","[23.60946096067275, 0.26663489769467974]",12.032991233244328
2025-04-22T01:41:09.984110,"[1.3245017697187917, 1.3364113924119208]","[14.062645675788998, 0.27493677177583953]",10.376429507439113
2025-04-22T01:41:58.725137,"[2.062479937260972, 1.3539932549464702]","[16.23730319470105, 0.27710506581518723]",11.331634010784004
2025-04-22T01:42:47.266252,"[2.4023061256138614, 1.3739597066215072]","[17.395729653921617, 0.2804778566387056]",10.802422137894752
2025-04-22T01:43:35.567422,"[1.7828910341428115, 1.3813332741445343]","[40.79392772151151, 0.27696383929427304]",11.997528536445579
2025-04-22T01:44:23.895888,"[1.4226009382479368, 1.3615306699067427]","[15.532578932738529, 0.2702743644132859]",10.9151787425373
2025-04-22T01:45:12.223993,"[1.515624198096263, 1.352721312246529]","[38.78485101222133, 0.2693009645507014]",11.417411136652115
2025-04-22T01:46:00.555684,"[1.627972335667342, 1.3431831270522743]","[7.882066816280298, 0.2684912104952346]",11.163922662571412
2025-04-22T01:46:48.911801,"[1.4021080048593126, 1.3597554501309368]","[19.068790155915107, 0.27468085358787064]",11.616610958314416
2025-04-22T01:47:37.245289,"[1.3391636577080415, 1.3460965812118317]","[13.41899068185913, 0.27319715913595344]",12.528429352274625
2025-04-22T01:48:25.573216,"[1.6252195466701669, 1.3673980470199654]","[8.605164151926438, 0.27386298919910423]",11.426708383463644
2025-04-22T01:49:13.899086,"[1.7604836605503618, 1.3559193112355565]","[34.315011234238476, 0.2645385745890896]",11.488504256244777
2025-04-22T01:50:02.206427,"[1.338637879615133, 1.3501652286894048]","[29.896919628796336, 0.26519383896569515]",11.002913186923298
2025-04-22T01:50:50.523258,"[1.6151452424622248, 1.3274918199448829]","[15.079921232322535, 0.2626898773523947]",11.37648741168159
2025-04-22T01:51:38.786903,"[1.6203023550462539, 1.3455562242711716]","[19.459178171046428, 0.2664801804933572]",13.137672560245703
2025-04-22T01:52:27.045303,"[0.9249448519814557, 1.3193305325253828]","[15.101827342109269, 0.2715261449838562]",11.448718554311366
2025-04-22T01:53:15.347439,"[1.1366115381137667, 1.359882103349121]","[14.717521800905084, 0.2634182548911155]",11.247773766526432
2025-04-22T01:54:03.700140,"[1.710168590998361, 1.366758389635442]","[12.495452405975449, 0.2655945623252878]",11.011062560220061
2025-04-22T01:54:51.995137,"[0.9922790128314034, 1.3210768481586914]","[12.015497332532714, 0.26650540996948546]",10.829353473393603
2025-04-22T01:55:40.313414,"[1.3826848068959152, 1.329506161588795]","[19.664592906550443, 0.27399218011184123]",10.793048565704348
2025-04-22T01:56:28.638110,"[1.2863307540316986, 1.3350621065272046]","[10.406255831603774, 0.27197031606139]",11.091217852124176
2025-04-22T01:57:16.912509,"[1.2306072413119924, 1.3337121101484932]","[12.32363734428541, 0.2713345516419947]",12.396832464028826
2025-04-22T01:58:05.223356,"[1.5885799801856073, 1.3294118590030282]","[14.564638915089628, 0.2776741559854652]",11.371232315763212
2025-04-22T01:58:53.778210,"[0.964648946192365, 1.3220227214210016]","[14.948913976332024, 0.26579514705238383]",12.890875631696105
2025-04-22T01:59:42.132158,"[1.3051871659365542, 1.325449490586668]","[52.503865281584076, 0.27319052274361555]",12.307356209590516
2025-04-22T02:00:30.520601,"[0.9074967057521304, 1.2992084520579752]","[11.647031481313928, 0.27172885093658605]",11.9057335362558
2025-04-22T02:01:18.853055,"[0.994258860264863, 1.29445681897674]","[19.400270642521736, 0.270491403466107]",12.072303235156635
2025-04-22T02:02:07.181704,"[1.712247574895613, 1.3224769476113032]","[14.632313838691882, 0.2709767370400291]",11.832490858138073
2025-04-22T02:02:55.515086,"[1.17218518659143, 1.3642771951801977]","[14.325027615138666, 0.27334671332330895]",11.719022515229087
2025-04-22T02:03:43.846626,"[1.039986954858458, 1.2901237141074482]","[13.217749023299445, 0.27288137622816144]",12.044783377941974
2025-04-22T02:04:32.176052,"[1.194291371665978, 1.299097224915469]","[8.563261495834595, 0.2702688133951363]",11.757477163568637
2025-04-22T02:05:20.491702,"[1.1510489717383594, 1.3353266361504348]","[11.509995316971178, 0.2645637745503664]",12.182132617249056
2025-04-22T02:06:08.669184,"[0.9088802851198343, 1.233139980376718]","[11.30076501552281, 0.2711686215571758]",11.965548569430085
2025-04-22T02:06:56.985311,"[0.7745507559569927, 1.2246506897809741]","[21.477385691390918, 0.2758214325857584]",11.24723224646574
2025-04-22T02:07:45.257904,"[0.9281212021661959, 1.2665865782760655]","[13.942507953692626, 0.2814800996894089]",11.520710313278142
2025-04-22T02:08:33.556960,"[0.8684283350598013, 1.2179511394746676]","[13.587721086545939, 0.27671789389536405]",12.241124161912566
2025-04-22T02:09:21.884543,"[0.7925560346778758, 1.2378382217620807]","[14.071536290511292, 0.2738709996130768]",11.13294506256551
2025-04-22T02:10:10.193323,"[1.1785813335132984, 1.3080570317927558]","[14.099110720788827, 0.27257478022873727]",11.848047774372002
2025-04-22T02:10:58.494200,"[1.2911334399230454, 1.3167004032194338]","[30.651852647865383, 0.2754759443491439]",12.985483497210986
2025-04-22T02:11:46.781789,"[1.5244626560774872, 1.317451597129077]","[6.098504007145614, 0.2722177038378808]",11.676829126869153
2025-04-22T02:12:35.031167,"[0.9499567106390431, 1.3041466849994832]","[38.685189897731824, 0.271680685320979]",12.95260865344681
2025-04-22T02:13:23.350288,"[1.2669051428478555, 1.3267042286259931]","[8.762662892704038, 0.27837946609343645]",12.770388790895057
2025-04-22T02:14:11.657462,"[0.9464315312511449, 1.2645574322650868]","[24.673879336344964, 0.26828193226020813]",11.892320390384876
2025-04-22T02:14:59.951647,"[1.5562989118448682, 1.3186716638664633]","[16.418827869254528, 0.26603632038940495]",11.989907963747912
2025-04-22T02:15:48.224951,"[1.2584255123632255, 1.3279314546868761]","[11.779729589539638, 0.27248662937689394]",11.19936811468038
2025-04-22T02:16:36.612740,"[0.8896073185622766, 1.2851962677691118]","[12.630720848656143, 0.2642907287252365]",12.210371194494048
2025-04-22T02:17:24.913877,"[1.0864452149320851, 1.2747207329175243]","[17.35776942217934, 0.2758004017741009]",12.167239980755241
2025-04-22T02:18:13.189684,"[1.0428867012029839, 1.2719001952868014]","[16.5130184276498, 0.273225064443257]",12.684182809573477
2025-04-22T02:19:01.363655,"[0.8439549457853406, 1.224378657685885]","[11.523987562082622, 0.2741733721805595]",11.798682370494493
2025-04-22T02:19:49.963551,"[0.9478926504782589, 1.2394097033885494]","[14.06898432636505, 0.27279966099915676]",11.189215306073557
2025-04-22T02:20:38.267523,"[0.9426422694158393, 1.2243501909925145]","[41.1004067975186, 0.26849680802781606]",12.30636667244653
2025-04-22T02:21:26.563333,"[1.28141537605901, 1.2537140275787095]","[26.281271210228617, 0.28295049566473507]",11.922685249977265
2025-04-22T02:22:14.871928,"[0.9592428350382376, 1.2715110318582301]","[13.907510854739154, 0.2712554989871818]",12.97209178163832
2025-04-22T02:23:03.180522,"[1.2396788402138386, 1.3230098757459956]","[52.848875641652896, 0.2661507888832957]",11.940214378484765
2025-04-22T02:23:51.473823,"[1.1547573948958363, 1.3231287919976156]","[9.550655184101284, 0.27174279512111355]",12.744494026724226
2025-04-22T02:24:39.774521,"[1.0386295413874806, 1.2870812714571178]","[15.813408984749763, 0.27856640146416733]",11.893231394887861
2025-04-22T02:25:28.095513,"[1.6974091380802703, 1.3254975490523977]","[25.909514931842224, 0.27030814705154205]",13.177218801811692
2025-04-22T02:26:16.397641,"[1.2562572499301574, 1.3007312156021316]","[33.081669327409486, 0.2639603950923357]",12.535258980734811
2025-04-22T02:27:04.667672,"[1.1924253992441334, 1.3273847272283694]","[18.000709089286573, 0.27817754797608485]",14.111721033309875
2025-04-22T02:27:52.911246,"[1.2352646724805962, 1.3006902709478085]","[54.03968112032485, 0.26461422806073065]",12.51580243863733
2025-04-22T02:28:41.236907,"[0.9044414988538659, 1.249640917584152]","[11.184420946985812, 0.2690865519582575]",12.060046485251839
2025-04-22T02:29:29.503413,"[0.980120376139772, 1.252805371412168]","[91.9253850029302, 0.27490827906391946]",12.082377435940217
2025-04-22T02:30:17.812882,"[1.0193091272081902, 1.2911549944757859]","[16.618321984812695, 0.2724307728540132]",12.366698292637711
2025-04-22T02:31:06.077502,"[1.376680833584968, 1.3130022266496901]","[9.380945791369754, 0.2669891173682717]",13.104479831654631
2025-04-22T02:31:54.376526,"[0.9881659021927957, 1.2719881749367765]","[18.749916973203085, 0.2748987276296413]",11.780138686930195
2025-04-22T02:32:42.684470,"[0.9073217897435344, 1.2779015015827628]","[16.238390038925626, 0.27222246912888526]",12.911935097432607
2025-04-22T02:33:30.981126,"[1.1795874084031734, 1.2959532208071352]","[16.019241810788746, 0.27088824428763836]",12.451263050643536
2025-04-22T02:34:19.234354,"[1.28187623820612, 1.2998313253757132]","[15.796712733730033, 0.27297556269543]",12.68818944624528
2025-04-22T02:35:07.546614,"[1.1671416302150095, 1.2860213817677977]","[12.283155169105083, 0.2781663814389832]",12.09055285716089
2025-04-22T02:35:55.841042,"[1.2142794289126848, 1.3072536373458545]","[12.507241520012482, 0.2622835917616704]",11.769798689603114
2025-04-22T02:36:44.135793,"[1.2642410452589756, 1.2969415569315839]","[33.01962921487606, 0.2728528176128586]",12.553237227884177
