Timestamp,Q1 T1 (us),Q1 T1 sigma,Q1 T4 (us),Q4 T1 sigma,mux Q1 T1 (us),muxQ1 T1 sigma,mux Q4 T1 (us),muxQ4 T1 sigma
2025-05-12 03:41:53,44.447592,2.807406,45.028164,3.686068,26.396380,1.357079,48.240509,3.757063
2025-05-12 03:49:34,36.950638,3.124473,51.865783,4.657962,27.360463,1.269820,45.214998,4.308678
2025-05-12 03:57:15,45.028086,2.510402,51.160430,4.395540,27.437197,1.383509,46.207370,3.240996
2025-05-12 04:04:55,40.400962,2.713439,54.698114,5.098492,26.884949,1.348343,49.781948,3.659767
2025-05-12 04:12:36,41.651181,2.275479,43.136970,2.998119,26.802670,1.388014,53.886071,5.737088
2025-05-12 04:20:17,36.690210,2.823084,55.000663,4.910539,25.626073,1.340752,42.626504,3.493363
2025-05-12 04:27:57,39.187884,2.331493,43.992576,3.218190,31.662042,1.811914,50.827531,4.194819
2025-05-12 04:35:38,34.606719,2.679973,52.483667,5.035963,27.105879,1.445832,46.189901,4.329820
2025-05-12 04:43:19,36.592856,2.740228,45.216026,3.322068,27.708751,1.177163,40.512187,2.535550
2025-05-12 04:51:00,35.764459,2.606958,46.926720,3.787224,26.654971,1.136534,56.133435,5.430869
2025-05-12 04:58:41,50.526284,2.787467,51.115874,4.176745,28.034158,1.382437,43.755336,3.095683
2025-05-12 05:06:21,43.894722,2.203535,48.548781,4.309718,30.378736,1.882435,42.365548,3.663481
2025-05-12 05:14:02,42.481293,2.507043,41.563957,3.433410,26.699903,1.115551,51.186620,4.281061
2025-05-12 05:21:43,37.493798,2.822823,49.685254,3.949281,28.096920,1.409265,50.395208,3.961283
2025-05-12 05:29:23,52.315503,2.870840,48.968811,3.155304,27.826716,1.271742,46.139307,2.928410
2025-05-12 05:37:04,40.207709,3.025129,46.316043,3.591508,26.322649,1.304399,41.811153,3.674115
2025-05-12 05:44:45,40.264234,2.831495,48.803655,3.341557,27.096137,0.957668,42.338488,3.585822
2025-05-12 05:52:26,44.465551,2.690551,51.551834,4.455520,26.028546,1.317894,48.463289,4.143859
2025-05-12 06:00:06,47.354838,2.489198,44.176043,3.257323,26.653104,0.922528,51.760853,4.845198
2025-05-12 06:07:47,45.497547,3.286046,47.552751,3.773955,26.074622,0.977580,45.564970,4.634969
2025-05-12 06:15:27,46.316277,2.676864,46.056740,4.032564,28.351543,1.171768,46.189673,3.929214
2025-05-12 06:23:08,49.051103,2.451443,44.623960,3.171796,26.564931,0.940013,51.440813,4.208586
2025-05-12 06:30:49,45.161745,2.136347,41.570330,3.869833,26.985518,1.271488,42.608236,3.288802
2025-05-12 06:38:30,49.400758,2.367412,43.517700,3.494921,27.498867,1.025563,46.882538,3.854610
2025-05-12 06:46:11,42.211725,2.198545,46.805811,3.591802,26.966058,1.306771,49.661732,4.578714
2025-05-12 06:53:51,48.744849,2.478512,45.678270,4.122485,26.023656,1.508421,59.759904,5.226645
2025-05-12 07:01:32,38.369223,2.773461,51.085270,4.733506,27.638599,1.269928,50.145337,4.871029
2025-05-12 07:09:13,47.399073,2.541853,51.693903,4.617419,28.390250,1.370031,53.388224,4.294395
2025-05-12 07:16:54,47.685159,2.080593,58.927008,5.233675,29.409105,1.391435,51.463531,5.291852
2025-05-12 07:24:34,40.285869,2.450015,57.442977,5.133926,29.629285,1.189731,49.249755,3.827818
2025-05-12 07:32:15,52.666751,2.777990,60.160720,6.755268,28.193868,1.237745,38.521456,3.172636
2025-05-12 07:39:56,52.838095,2.114086,64.507999,6.266633,26.663822,1.140175,46.452432,3.022959
2025-05-12 07:47:36,47.402391,2.373470,46.055791,4.325472,28.945701,0.993195,47.510154,3.513855
2025-05-12 07:55:17,45.789594,2.573632,54.213158,4.388191,26.875624,1.185162,52.256339,3.532154
2025-05-12 08:02:58,43.294252,2.760031,47.397763,3.663713,24.228368,1.139858,44.374569,3.303284
2025-05-12 08:10:38,44.123094,3.548752,49.999133,4.000153,28.489512,0.995200,50.571698,4.197287
2025-05-12 08:18:19,52.004753,2.989683,48.041860,3.137028,28.508782,1.327157,54.773333,4.729031
2025-05-12 08:26:00,34.711028,2.773664,60.908390,6.289547,27.572545,1.140018,59.436701,7.053793
2025-05-12 08:33:41,49.882839,2.563326,51.227874,3.609553,25.258224,1.031404,55.503425,4.366889
2025-05-12 08:41:21,49.415867,2.329236,57.877975,5.447554,29.552434,1.318445,49.214246,3.805129
2025-05-12 08:49:02,39.132770,3.776499,53.876243,3.851067,28.663147,1.459658,60.586094,5.247604
2025-05-12 08:56:42,43.231075,3.092984,63.442275,5.869981,28.537417,1.649802,48.478946,3.727044
2025-05-12 09:04:23,47.323940,3.355151,58.077470,4.519789,28.240431,1.791394,55.188626,4.933615
2025-05-12 09:12:04,39.752078,2.455975,60.569466,5.889279,27.217233,1.208447,52.146627,4.757631
2025-05-12 09:19:45,43.797579,2.526792,60.181520,6.377664,27.529830,1.559440,52.956547,4.367758
2025-05-12 09:27:25,38.878157,2.145483,48.196056,4.198578,27.110644,1.037193,51.735105,4.917942
2025-05-12 09:35:06,43.249801,3.250983,47.560656,3.540900,27.048839,1.369026,67.156180,6.566143
2025-05-12 09:42:46,34.091976,3.343870,50.941867,4.894277,24.784793,1.690885,55.228192,5.838187
2025-05-12 09:50:27,42.764328,3.625044,57.860462,5.803201,29.141227,1.508141,53.569721,5.144834
2025-05-12 09:58:08,47.216273,2.668613,56.867844,5.257830,27.246473,0.982561,49.290027,3.957735
